Din Djarin,https://huggingface.co/bowlql/dindjarinRVC/resolve/main/Din-Djarin.zip**
Batman - Arkham City,https://huggingface.co/AI-Wheelz/BAC_Harley_V2/resolve/main/HarleyQV2.7z
Mr. Wolf,https://huggingface.co/DaRkSpyro/MrWolfTheBadGuys/resolve/main/Mr%20Wolf.zip
Yugo Kanno - Il Vento d'Oro,https://huggingface.co/RegalHyperus/rvc-v2-drum-models/resolve/main/IlVentoDOroDrums.zip
DogDay,https://huggingface.co/Sam845/DogDay_Latino/resolve/main/DogDayLatino.zip
Jax,https://huggingface.co/WoomyPearl/RVC-Model-Palace/resolve/main/JaxBrianHullTortoiseTTS.zip
Lee Sungho,https://huggingface.co/Henrato/RieOnlyOneOf/resolve/main/RieOnlyOneOf.zip
Rainbow Six Siege Announcer,https://huggingface.co/MrM0dZ/R6Announcer/resolve/main/R6Announcer.zip
Lee Young Ji,https://huggingface.co/ivoryprincemilo/Lee_Young_Ji/resolve/main/Lee%20Young-Ji.zip
Jumpstyle,https://huggingface.co/Voxelcraft/AIModels/resolve/main/Jumpstyle.zip
Winning Ticket,https://huggingface.co/maryishi/IshiMary_RVC_Models/resolve/main/WinningTicket_RMVPE_600Epochs.zip
Qanipalaat,https://huggingface.co/RegalHyperus/new-rvc-models/resolve/main/QanipalaatAKJP.zip
Player,https://huggingface.co/Timur04129/Player_Gametoons/resolve/main/Player%20(Gametoons).zip
UnitedShoes,https://huggingface.co/UnitedShoes/unitedshoes-9/tree/main
Satoru Gojo English Dub,https://huggingface.co/PizzaWithoutTheHut/Gojo_V2/resolve/main/Gojo%20V2_e400_s29200_400e.zip
Puzzle,https://huggingface.co/RegalHyperus/new-rvc-models/resolve/main/PuzzleAKJP.zip
Skater Waltz - Transylmania,https://huggingface.co/OwlCity/OwlCityRVC/resolve/main/Transylmania.zip
Nicol\u00e1s Maduro,https://huggingface.co/Sam845/Nicolas_Maduro/resolve/main/Nicol\u00e1sMaduro.zip
Black Hero,https://huggingface.co/AI-Wheelz/BlackHero_V2/resolve/main/BlackHeroV2.7z
Springtrap,https://huggingface.co/Voxelcraft/AIModels/resolve/main/Springtrap.zip
Mortimer Mouse,https://huggingface.co/EvanTheToonGuy40/RVC_Models/resolve/main/MortimerMouseMauriceLaMarche.zip
Goofy,https://huggingface.co/WoomyPearl/RVC-Model-Palace/resolve/main/GoofyLA.zip
Tyrann,https://huggingface.co/PGR-RVC/NieR_RVC_v2/resolve/main/EN/TyrannEN_RVC_v2_RMVPE_340e_Ov2.zip
Popola,https://huggingface.co/PGR-RVC/NieR_RVC_v2/resolve/main/EN/PopolaEN_RVC_v2_RMVPE_210e_Ov2.zip
Devola,https://huggingface.co/PGR-RVC/NieR_RVC_v2/resolve/main/EN/DevolaEN_RVC_v2_RMVPE_320e_Ov2.zip
Lucifer,https://huggingface.co/BunnyToon/lucifer/resolve/main/lucifer.zip
Rene\u00e9 Rapp,https://huggingface.co/ivoryprincemilo/ReneeRapp/resolve/main/Rene%C3%A9_Rapp.zip
Bob Seger,https://huggingface.co/AI-Wheelz/BobSeger_V2/resolve/main/BobSegerV2.7z
E-girl uwu model,https://huggingface.co/Teaishere/egirltea/resolve/main/egirltea.zip
Bee Gees RVC [Rmvpe</span>] - 500 Epochs)</a>  \n\n</svg>Run</a></td>\n\n</svg></button></td>https://huggingface.co/agusroccohd/agusrvc/resolve/main/barrygi...</a></td>\n                                                            \n                                                            </i>                                               \n</a>\n                                                            </div>                                            \n                                                          </div>\n    </td></tr>Lemon Demon - Brodyquest,https://huggingface.co/agusroccohd/agusrvc/resolve/main/barrygibs.zip
Lemon Demon - Brodyquest,https://huggingface.co/RegalHyperus/new-rvc-models/resolve/main/BrodyquestBass.zip
CG5,https://huggingface.co/Voxelcraft/AIModels/resolve/main/CharlieGreen.zip
Captain Gantu [Lilo & Stitch],https://huggingface.co/MrSneakyD/CaptainGantu_RVC/resolve/main/CaptainGantu.zip
Mejiro Ryan,https://huggingface.co/maryishi/IshiMary_RVC_Models/resolve/main/MejiroRyan_RMVPE_600Epochs.zip
KSI | 350 Epochs | RMVPE</span></a>  \n\n</svg>Run</a></td>\n\n</svg></button></td>https://huggingface.co/Plasmati/AIDRIVEORNOTMODELS5/resolve/mai...</a></td>\n                                                            \n                                                            </i>                                               \n</a>\n                                                            </div>                                            \n                                                          </div>\n    </td></tr>Fushikawa Kokoro,https://huggingface.co/Plasmati/AIDRIVEORNOTMODELS5/resolve/main/KSI.zip
Fushikawa Kokoro,https://huggingface.co/samkey/Kokoro/resolve/main/Kokoro.zip
Road Guy Rob,https://huggingface.co/UnitedShoes/road-guy-bob/tree/main
Cissy Houston [RVC v2 - RMVPE</span>- Ov2] [250 Epochs]</a>  \n\n</svg>Run</a></td>\n\n</svg></button></td>https://huggingface.co/MusicBox27/60sSingers/resolve/main/Cissy...</a></td>\n                                                            \n                                                            </i>                                               \n</a>\n                                                            </div>                                            \n                                                          </div>\n    </td></tr>Rosie,https://huggingface.co/MusicBox27/60sSingers/resolve/main/CissyHouston.zip
Rosie,https://huggingface.co/BunnyToon/rosie/resolve/main/rosie.zip
PikaBass,https://huggingface.co/RegalHyperus/rvc-requests/resolve/main/PikaBass.zip
Aqours - Deep Resonance,https://huggingface.co/RegalHyperus/rvc-v2-drum-models/resolve/main/DeepResonanceDrums.zip
Buzby the Misbehaving Bee,https://huggingface.co/WoomyPearl/RVC-Model-Palace/resolve/main/BuzbyKingOfTheBees.zip
Grimoire Weiss,https://huggingface.co/PGR-RVC/NieR_RVC_v2/resolve/main/EN/GrimoireWeissEN_RVC_v2_RMVPE_270e_Ov2.zip
Grimoire Noir,https://huggingface.co/PGR-RVC/NieR_RVC_v2/resolve/main/EN/GrimoireNoirEN_RVC_v2_RMVPE_580e_Ov2.zip
Spade Echo [hololive CN | rmvpe</span> 200 epoches]</a>  \n\n</svg>Run</a></td>\n\n</svg></button></td>https://huggingface.co/IshimaIshimsky/spade_echo/resolve/main/s...</a></td>\n                                                            \n                                                            </i>                                               \n</a>\n                                                            </div>                                            \n                                                          </div>\n    </td></tr>Temmie,https://huggingface.co/IshimaIshimsky/spade_echo/resolve/main/spade_echo.zip
Temmie,https://huggingface.co/Xhepyxopila/MiscCartoonModelsRVC/resolve/main/temmiev2.zip
Carolyn Franklin [RVC v2 - RMVPE</span> - Ov2] [300 Epochs]</a>  \n\n</svg>Run</a></td>\n\n</svg></button></td>https://huggingface.co/MusicBox27/60sSingers/resolve/main/Carol...</a></td>\n                                                            \n                                                            </i>                                               \n</a>\n                                                            </div>                                            \n                                                          </div>\n    </td></tr>TMZ Announcer Guy,https://huggingface.co/MusicBox27/60sSingers/resolve/main/CarolynFranklin.zip
TMZ Announcer Guy,https://huggingface.co/UnitedShoes/TMZ-guy/tree/main
Wanda Maximoff,https://huggingface.co/BunnyToon/nilce/resolve/main/nilce.zip
Robot Mr. Krabs,https://huggingface.co/frankmurray/krabs/resolve/main/robotkrabs.zip
Kureiji Ollie,https://huggingface.co/ABF54/ABFRVC/resolve/main/ollieraspy.zip
Anya Forger,https://huggingface.co/Voxelcraft/AIModels/resolve/main/AnyaForger.zip
Mecha Sonic - Super Mario Bros. Z,https://huggingface.co/OwlCity/OwlCityRVC/resolve/main/Mecha%20Sonic%20SMBZ.zip
Sharpay Evans,https://huggingface.co/eilim/SharpayEvans/resolve/main/SharpayEvansAIselection1-650epochs.index
Scourge the Hedgehog,https://huggingface.co/LizzardoFunky/LizzardosRVCModels/resolve/main/Scourge%20The%20Hedgehog%20(Lazlow%2087's%20take).zip
Ramona Flowers,https://huggingface.co/BunnyToon/ramona/resolve/main/Ramona.zip
Civia [hololive CN | rmvpe</span> 600 epoches]</a>  \n\n</svg>Run</a></td>\n\n</svg></button></td>https://huggingface.co/IshimaIshimsky/civia/resolve/main/civia%...</a></td>\n                                                            \n                                                            </i>                                               \n</a>\n                                                            </div>                                            \n                                                          </div>\n    </td></tr>Alastor,https://huggingface.co/IshimaIshimsky/civia/resolve/main/civia%20holocn.rar
Alastor,https://huggingface.co/BunnyToon/alastor/resolve/main/alastor.zip
Literally the Cant del Bar\u00e7a choir,https://huggingface.co/RegalHyperus/new-rvc-models/resolve/main/CantDelBarcaChoir.zip
PvZ \u0414\u0438\u0447\u044c,https://huggingface.co/Stepan2033/Models/resolve/main/Dich.zip
Usada Pekora,https://huggingface.co/listra92/MyRVC/resolve/main/Pekora_e270_s8910.zip
Erma Franklin [RVC v2 - RMVPE</span> - Ov2] [300 Epochs]</a>  \n\n</svg>Run</a></td>\n\n</svg></button></td>https://huggingface.co/MusicBox27/60sSingers/resolve/main/ErmaF...</a></td>\n                                                            \n                                                            </i>                                               \n</a>\n                                                            </div>                                            \n                                                          </div>\n    </td></tr>Doguqan Studios,https://huggingface.co/MusicBox27/60sSingers/resolve/main/ErmaFranklin.zip
Doguqan Studios,https://huggingface.co/Goldeath/Doguqan/resolve/main/DogukanYazici.zip
Michael MJD,https://huggingface.co/UnitedShoes/michaelmjd1-batch8/blob/main/michaelmjd1-batch8.zip
Literally the BPB Cassette 808 Drum Sample Pack,https://huggingface.co/RegalHyperus/rvc-v2-drum-models/resolve/main/BPBCassette808DrumsV2.zip
Huggy Wuggy,https://huggingface.co/Voxelcraft/AIModels/resolve/main/HuggyWuggy.zip
Literally the BPB Cassette 808 Drum Sample Pack,https://huggingface.co/RegalHyperus/rvc-v2-drum-models/resolve/main/BPBCassette808Drums.zip
Donna Summer,https://huggingface.co/agusroccohd/agusrvc/resolve/main/donnasummer.zip
General Klump [Donkey Kong Country],https://huggingface.co/MrSneakyD/DonkeyKongCountry_RVCs/resolve/main/GeneralKlump.zip
Giorgio Tuinfort & Franck van der Heijden - UEFA Nations League Anthem,https://huggingface.co/RegalHyperus/rvc-v2-drum-models/resolve/main/UEFANationsLeagueAnthemDrums.zip
Laura Pergolizzi,https://huggingface.co/RxfaealGrafikArt/Modelos_De_Voz/resolve/main/Laura%20Pergolizzi%20230%20Epochs.zip
Kanye West,https://huggingface.co/UnitedShoes/kanye-dondav2-batch8/tree/main
DogDay - Poppy Playtime - Chapter 3,https://huggingface.co/Freaky98/DogDay-rvc-v2-160e/resolve/main/DogDay-v2.zip
